#TH	FDR	1-NPV
0.000   0.500   0.000
0.001   0.499   0.000
0.002   0.498   0.004
0.003   0.495   0.007
0.004   0.492   0.007
0.005   0.489   0.007
0.006   0.486   0.009
0.007   0.482   0.010
0.008   0.479   0.011
0.009   0.476   0.013
0.010   0.473   0.013
0.011   0.471   0.014
0.012   0.468   0.016
0.013   0.465   0.016
0.014   0.463   0.016
0.015   0.460   0.017
0.016   0.457   0.017
0.017   0.455   0.018
0.018   0.453   0.018
0.019   0.450   0.018
0.020   0.448   0.019
0.021   0.446   0.019
0.022   0.443   0.020
0.023   0.441   0.021
0.024   0.439   0.022
0.025   0.437   0.023
0.026   0.435   0.023
0.027   0.433   0.023
0.028   0.431   0.023
0.029   0.429   0.023
0.030   0.427   0.024
0.031   0.425   0.025
0.032   0.423   0.026
0.033   0.421   0.026
0.034   0.419   0.026
0.035   0.417   0.027
0.036   0.416   0.028
0.037   0.414   0.028
0.038   0.412   0.029
0.039   0.410   0.029
0.040   0.408   0.029
0.041   0.406   0.030
0.042   0.404   0.030
0.043   0.403   0.031
0.044   0.401   0.031
0.045   0.399   0.032
0.046   0.397   0.032
0.047   0.395   0.032
0.048   0.394   0.033
0.049   0.392   0.034
0.050   0.391   0.034
0.051   0.389   0.035
0.052   0.387   0.035
0.053   0.386   0.036
0.054   0.384   0.037
0.055   0.382   0.037
0.056   0.381   0.037
0.057   0.379   0.038
0.058   0.378   0.038
0.059   0.376   0.039
0.060   0.374   0.039
0.061   0.373   0.040
0.062   0.371   0.040
0.063   0.370   0.040
0.064   0.369   0.041
0.065   0.367   0.041
0.066   0.366   0.042
0.067   0.364   0.042
0.068   0.363   0.042
0.069   0.361   0.043
0.070   0.360   0.043
0.071   0.359   0.043
0.072   0.357   0.044
0.073   0.356   0.044
0.074   0.354   0.045
0.075   0.353   0.045
0.076   0.352   0.045
0.077   0.350   0.045
0.078   0.349   0.046
0.079   0.347   0.046
0.080   0.346   0.046
0.081   0.345   0.046
0.082   0.344   0.047
0.083   0.343   0.047
0.084   0.341   0.047
0.085   0.340   0.047
0.086   0.339   0.048
0.087   0.338   0.048
0.088   0.337   0.048
0.089   0.336   0.049
0.090   0.334   0.049
0.091   0.333   0.049
0.092   0.332   0.049
0.093   0.331   0.050
0.094   0.330   0.050
0.095   0.328   0.051
0.096   0.327   0.051
0.097   0.326   0.051
0.098   0.325   0.051
0.099   0.324   0.051
0.100   0.323   0.052
0.101   0.322   0.052
0.102   0.321   0.053
0.103   0.320   0.053
0.104   0.319   0.053
0.105   0.318   0.054
0.106   0.317   0.054
0.107   0.316   0.054
0.108   0.315   0.055
0.109   0.314   0.055
0.110   0.312   0.055
0.111   0.312   0.056
0.112   0.311   0.056
0.113   0.309   0.056
0.114   0.309   0.057
0.115   0.308   0.057
0.116   0.307   0.057
0.117   0.306   0.058
0.118   0.305   0.059
0.119   0.304   0.059
