#TH	SFRD	SCNPV	IFDR	ICNPV
0.000	0.500	0.006	0.500	0.037
0.001	0.500	0.006	0.273	0.037
0.002	0.498	0.006	0.239	0.040
0.003	0.495	0.007	0.222	0.041
0.004	0.492	0.007	0.210	0.041
0.005	0.489	0.011	0.205	0.043
0.006	0.484	0.016	0.199	0.043
0.007	0.480	0.018	0.193	0.044
0.008	0.475	0.020	0.188	0.046
0.009	0.470	0.021	0.182	0.046
0.010	0.466	0.022	0.182	0.046
0.011	0.461	0.022	0.176	0.047
0.012	0.457	0.023	0.176	0.047
0.013	0.453	0.024	0.176	0.047
0.014	0.449	0.024	0.170	0.047
0.015	0.446	0.024	0.170	0.048
0.016	0.443	0.025	0.165	0.048
0.017	0.438	0.026	0.165	0.049
0.018	0.435	0.027	0.165	0.049
0.019	0.432	0.027	0.165	0.050
0.020	0.429	0.028	0.165	0.050
0.021	0.425	0.029	0.159	0.050
0.022	0.424	0.029	0.159	0.050
0.023	0.421	0.030	0.159	0.050
0.024	0.418	0.031	0.159	0.050
0.025	0.415	0.031	0.159	0.050
0.026	0.413	0.032	0.159	0.050
0.027	0.411	0.032	0.159	0.051
0.028	0.408	0.032	0.159	0.051
0.029	0.407	0.032	0.153	0.051
0.030	0.404	0.033	0.153	0.052
0.031	0.402	0.034	0.153	0.052
0.032	0.399	0.035	0.153	0.052
0.033	0.398	0.035	0.153	0.052
0.034	0.394	0.035	0.153	0.052
0.035	0.393	0.035	0.148	0.052
0.036	0.390	0.035	0.148	0.052
0.037	0.388	0.036	0.148	0.052
0.038	0.387	0.036	0.148	0.053
0.039	0.385	0.037	0.148	0.053
0.040	0.384	0.037	0.148	0.053
0.041	0.382	0.038	0.148	0.053
0.042	0.379	0.038	0.148	0.053
0.043	0.377	0.038	0.148	0.053
0.044	0.376	0.038	0.148	0.054
0.045	0.374	0.038	0.148	0.054
0.046	0.373	0.038	0.148	0.054
0.047	0.371	0.038	0.148	0.054
0.048	0.370	0.039	0.142	0.054
0.049	0.368	0.040	0.142	0.054
0.050	0.366	0.040	0.142	0.054
0.051	0.365	0.040	0.142	0.054
0.052	0.363	0.041	0.142	0.054
0.053	0.362	0.041	0.142	0.054
0.054	0.360	0.041	0.142	0.054
0.055	0.359	0.041	0.142	0.054
0.056	0.357	0.042	0.142	0.054
0.057	0.356	0.042	0.142	0.054
0.058	0.354	0.043	0.142	0.054
0.059	0.352	0.043	0.142	0.054
0.060	0.351	0.043	0.142	0.055
0.061	0.349	0.043	0.142	0.055
0.062	0.348	0.044	0.136	0.055
0.063	0.346	0.044	0.136	0.055
0.064	0.345	0.044	0.136	0.055
0.065	0.345	0.045	0.136	0.055
0.066	0.343	0.045	0.136	0.054
0.067	0.342	0.045	0.136	0.055
0.068	0.340	0.046	0.136	0.055
0.069	0.339	0.046	0.136	0.055
0.070	0.337	0.046	0.136	0.055
0.071	0.335	0.046	0.136	0.055
0.072	0.334	0.046	0.136	0.055
0.073	0.334	0.046	0.136	0.055
0.074	0.332	0.046	0.136	0.055
0.075	0.331	0.047	0.136	0.056
0.076	0.329	0.047	0.136	0.056
0.077	0.329	0.048	0.136	0.056
0.078	0.328	0.049	0.136	0.056
0.079	0.326	0.049	0.136	0.055
0.080	0.325	0.049	0.136	0.055
0.081	0.325	0.049	0.136	0.055
0.082	0.323	0.049	0.136	0.056
0.083	0.321	0.050	0.136	0.056
0.084	0.320	0.050	0.136	0.056
0.085	0.320	0.050	0.136	0.056
0.086	0.318	0.051	0.136	0.056
0.087	0.317	0.051	0.136	0.056
0.088	0.315	0.051	0.136	0.056
0.089	0.314	0.052	0.136	0.056
0.090	0.314	0.052	0.131	0.056
0.091	0.312	0.052	0.131	0.056
0.092	0.311	0.052	0.131	0.056
0.093	0.311	0.052	0.131	0.057
0.094	0.309	0.053	0.131	0.057
0.095	0.307	0.053	0.131	0.057
0.096	0.307	0.053	0.131	0.057
0.097	0.306	0.053	0.131	0.058
0.098	0.304	0.054	0.131	0.058
0.099	0.304	0.054	0.131	0.058
0.100	0.303	0.054	0.131	0.058
0.101	0.303	0.054	0.131	0.058
0.102	0.301	0.055	0.131	0.058
0.103	0.300	0.055	0.131	0.058
0.104	0.300	0.055	0.131	0.058
0.105	0.298	0.055	0.131	0.058
0.106	0.297	0.055	0.131	0.058
0.107	0.297	0.056	0.131	0.058
0.108	0.295	0.056	0.131	0.058
0.109	0.295	0.056	0.131	0.058
0.110	0.293	0.057	0.131	0.058
0.111	0.293	0.057	0.131	0.058
0.112	0.292	0.057	0.131	0.058
0.113	0.292	0.057	0.131	0.058
0.114	0.290	0.058	0.131	0.058
0.115	0.290	0.058	0.131	0.058
0.116	0.289	0.058	0.131	0.058
0.117	0.289	0.058	0.131	0.058
0.118	0.287	0.059	0.131	0.058
0.119	0.287	0.060	0.131	0.058
0.120	0.286	0.060	0.131	0.058
0.121	0.286	0.060	0.131	0.058
0.122	0.284	0.060	0.131	0.058
0.123	0.284	0.060	0.131	0.058
0.124	0.283	0.060	0.131	0.058
0.125	0.281	0.060	0.131	0.058
0.126	0.281	0.061	0.131	0.058
0.127	0.280	0.061	0.131	0.058
0.128	0.280	0.061	0.131	0.058
0.129	0.278	0.061	0.131	0.059
0.130	0.278	0.062	0.131	0.058
0.131	0.276	0.062	0.131	0.058
0.132	0.276	0.062	0.131	0.058
0.133	0.275	0.063	0.131	0.059
0.134	0.275	0.063	0.131	0.059
0.135	0.273	0.063	0.131	0.059
0.136	0.273	0.063	0.131	0.059
