#TH	SFDR	SCNPV
0.000	0.5000	0.0000
0.001	0.4972	0.0032
0.002	0.4896	0.0032
0.003	0.4826	0.0032
0.004	0.4760	0.0036
0.005	0.4690	0.0036
0.006	0.4624	0.0042
0.007	0.4562	0.0046
0.008	0.4500	0.0050
0.009	0.4446	0.0052
0.010	0.4388	0.0054
0.011	0.4336	0.0062
0.012	0.4284	0.0066
0.013	0.4236	0.0072
0.014	0.4190	0.0078
0.015	0.4140	0.0080
0.016	0.4096	0.0088
0.017	0.4054	0.0090
0.018	0.4014	0.0096
0.019	0.3972	0.0100
0.020	0.3932	0.0104
0.021	0.3892	0.0108
0.022	0.3858	0.0112
0.023	0.3822	0.0116
0.024	0.3792	0.0126
0.025	0.3756	0.0126
0.026	0.3722	0.0130
0.027	0.3692	0.0136
0.028	0.3660	0.0142
0.029	0.3630	0.0144
0.030	0.3598	0.0146
0.031	0.3566	0.0150
0.032	0.3542	0.0152
0.033	0.3514	0.0156
0.034	0.3488	0.0162
0.035	0.3462	0.0164
0.036	0.3436	0.0166
0.037	0.3412	0.0170
0.038	0.3388	0.0172
0.039	0.3364	0.0176
0.040	0.3340	0.0176
0.041	0.3316	0.0178
0.042	0.3294	0.0184
0.043	0.3274	0.0186
0.044	0.3254	0.0192
0.045	0.3230	0.0194
0.046	0.3212	0.0194
0.047	0.3192	0.0200
0.048	0.3172	0.0204
0.049	0.3152	0.0204
0.050	0.3132	0.0208
0.051	0.3114	0.0212
0.052	0.3096	0.0212
0.053	0.3078	0.0216
0.054	0.3058	0.0220
0.055	0.3042	0.0224
0.056	0.3024	0.0226
0.057	0.3008	0.0228
0.058	0.2990	0.0232
0.059	0.2972	0.0234
0.060	0.2960	0.0236
0.061	0.2942	0.0240
0.062	0.2930	0.0242
0.063	0.2912	0.0244
0.064	0.2898	0.0248
0.065	0.2884	0.0250
0.066	0.2868	0.0254
0.067	0.2854	0.0254
0.068	0.2840	0.0258
0.069	0.2828	0.0260
0.070	0.2818	0.0264
0.071	0.2800	0.0266
0.072	0.2790	0.0270
0.073	0.2776	0.0272
0.074	0.2760	0.0278
0.075	0.2750	0.0278
0.076	0.2740	0.0282
0.077	0.2720	0.0288
0.078	0.2710	0.0288
0.079	0.2700	0.0288
0.080	0.2690	0.0292
0.081	0.2680	0.0298
0.082	0.2666	0.0298
0.083	0.2656	0.0298
0.084	0.2646	0.0300
0.085	0.2634	0.0308
0.086	0.2624	0.0308
0.087	0.2612	0.0308
0.088	0.2600	0.0314
0.089	0.2590	0.0316
0.090	0.2576	0.0316
0.091	0.2568	0.0320
0.092	0.2558	0.0322
0.093	0.2548	0.0326
0.094	0.2538	0.0326
0.095	0.2528	0.0330
0.096	0.2518	0.0332
0.097	0.2510	0.0334
0.098	0.2500	0.0336
0.099	0.2494	0.0340
0.100	0.2484	0.0342
0.101	0.2474	0.0344
0.102	0.2464	0.0346
0.103	0.2454	0.0348
0.104	0.2444	0.0350
0.105	0.2438	0.0354
0.106	0.2430	0.0354
0.107	0.2420	0.0358
0.108	0.2412	0.0360
0.109	0.2404	0.0362
0.110	0.2398	0.0364
0.111	0.2388	0.0370
0.112	0.2380	0.0370
0.113	0.2372	0.0372
0.114	0.2364	0.0374
0.115	0.2354	0.0374
0.116	0.2348	0.0378
0.117	0.2342	0.0380
0.118	0.2332	0.0384
0.119	0.2326	0.0386
0.120	0.2318	0.0386
0.121	0.2310	0.0386
0.122	0.2304	0.0390
0.123	0.2298	0.0394
0.124	0.2288	0.0394
0.125	0.2284	0.0394
0.126	0.2276	0.0398
0.127	0.2268	0.0402
0.128	0.2262	0.0404
0.129	0.2256	0.0406
0.130	0.2248	0.0406
0.131	0.2242	0.0410
0.132	0.2234	0.0414
0.133	0.2228	0.0414
0.134	0.2220	0.0414
0.135	0.2216	0.0416
0.136	0.2208	0.0420
0.137	0.2200	0.0422
0.138	0.2194	0.0426
0.139	0.2190	0.0428
0.140	0.2182	0.0430
0.141	0.2176	0.0432
0.142	0.2168	0.0432
0.143	0.2166	0.0436
0.144	0.2156	0.0438
0.145	0.2152	0.0442
0.146	0.2146	0.0442
0.147	0.2136	0.0442
0.148	0.2134	0.0446
0.149	0.2126	0.0452
0.150	0.2122	0.0452
0.151	0.2116	0.0452
0.152	0.2108	0.0456
